           location        date  total_cases  new_cases
              Egypt  2020-01-01            0          0
 UnitedArabEmirates  2020-01-01            0          0
              Spain  2020-01-01            0          0
             Norway  2020-01-01            0          0
            Belgium  2020-01-01            0          0
      UnitedKingdom  2020-01-01            0          0
             Kuwait  2020-01-01            0          0
        Switzerland  2020-01-01            0          0
         SouthKorea  2020-01-01            0          0
            Austria  2020-01-01            0          0
             Brazil  2020-01-01            0          0
              India  2020-01-01            0          0
          Lithuania  2020-01-01            0          0
           SriLanka  2020-01-01            0          0
            Lebanon  2020-01-01            0          0
            Bahrain  2020-01-01            0          0
            Germany  2020-01-01            0          0
            Finland  2020-01-01            0          0
        Afghanistan  2020-01-01            0          0
             Israel  2020-01-01            0          0
            Georgia  2020-01-01            0          0
          SanMarino  2020-01-01            0          0
       UnitedStates  2020-01-01            0          0
        Philippines  2020-01-01            0          0
              Nepal  2020-01-01            0          0
               Iran  2020-01-01            0          0
             France  2020-01-01            0          0
           Malaysia  2020-01-01            0          0
              China  2020-01-01           27          0
               Oman  2020-01-01            0          0
              Italy  2020-01-01            0          0
             Sweden  2020-01-02            0          0
           Malaysia  2020-01-02            0          0
            Algeria  2020-01-02            0          0
             Brazil  2020-01-02            0          0
              China  2020-01-02           27          0
          Australia  2020-01-02            0          0
           SriLanka  2020-01-02            0          0
           Pakistan  2020-01-02            0          0
            Bahrain  2020-01-02            0          0
          Singapore  2020-01-02            0          0
           Thailand  2020-01-02            0          0
           Cambodia  2020-01-02            0          0
              Italy  2020-01-02            0          0
 UnitedArabEmirates  2020-01-02            0          0
              Japan  2020-01-02            0          0
               Iran  2020-01-02            0          0
            Belgium  2020-01-02            0          0
          SanMarino  2020-01-02            0          0
               Iraq  2020-01-02            0          0
             Canada  2020-01-02            0          0
            Finland  2020-01-02            0          0
            Georgia  2020-01-02            0          0
               Oman  2020-01-02            0          0
             Norway  2020-01-02            0          0
              Egypt  2020-01-02            0          0
              Nepal  2020-01-02            0          0
        Netherlands  2020-01-02            0          0
             France  2020-01-02            0          0
            Romania  2020-01-02            0          0
         SouthKorea  2020-01-02            0          0
             Taiwan  2020-01-02            0          0
        Switzerland  2020-01-02            0          0
      UnitedKingdom  2020-01-02            0          0
          Lithuania  2020-01-02            0          0
            Denmark  2020-01-02            0          0
             Kuwait  2020-01-02            0          0
        Afghanistan  2020-01-02            0          0
       UnitedStates  2020-01-02            0          0
        Philippines  2020-01-02            0          0
              India  2020-01-02            0          0
             Israel  2020-01-02            0          0
            Vietnam  2020-01-02            0          0
          Macedonia  2020-01-02            0          0
             Greece  2020-01-02            0          0
            Croatia  2020-01-02            0          0
             Russia  2020-01-02            0          0
            Lebanon  2020-01-02            0          0
            Germany  2020-01-02            0          0
              Spain  2020-01-02            0          0
            Austria  2020-01-02            0          0
          SanMarino  2020-01-03            0          0
            Algeria  2020-01-03            0          0
             France  2020-01-03            0          0
               Oman  2020-01-03            0          0
           SriLanka  2020-01-03            0          0
            Denmark  2020-01-03            0          0
             Israel  2020-01-03            0          0
            Austria  2020-01-03            0          0
            Germany  2020-01-03            0          0
         SouthKorea  2020-01-03            0          0
       UnitedStates  2020-01-03            0          0
              Italy  2020-01-03            0          0
          Australia  2020-01-03            0          0
            Vietnam  2020-01-03            0          0
          Singapore  2020-01-03            0          0
              Spain  2020-01-03            0          0
             Norway  2020-01-03            0          0
 UnitedArabEmirates  2020-01-03            0          0
               Iraq  2020-01-03            0          0
            Finland  2020-01-03            0          0
            Croatia  2020-01-03            0          0
             Canada  2020-01-03            0          0
           Cambodia  2020-01-03            0          0
        Netherlands  2020-01-03            0          0
           Malaysia  2020-01-03            0          0
      UnitedKingdom  2020-01-03            0          0
              Nepal  2020-01-03            0          0
            Georgia  2020-01-03            0          0
             Greece  2020-01-03            0          0
               Iran  2020-01-03            0          0
        Switzerland  2020-01-03            0          0
            Belgium  2020-01-03            0          0
           Thailand  2020-01-03            0          0
           Pakistan  2020-01-03            0          0
          Macedonia  2020-01-03            0          0
        Afghanistan  2020-01-03            0          0
             Russia  2020-01-03            0          0
          Lithuania  2020-01-03            0          0
             Sweden  2020-01-03            0          0
             Kuwait  2020-01-03            0          0
              Japan  2020-01-03            0          0
        Philippines  2020-01-03            0          0
              China  2020-01-03           44         17
             Taiwan  2020-01-03            0          0
              Egypt  2020-01-03            0          0
            Bahrain  2020-01-03            0          0
             Brazil  2020-01-03            0          0
              India  2020-01-03            0          0
            Lebanon  2020-01-03            0          0
            Romania  2020-01-03            0          0
             Russia  2020-01-04            0          0
        Afghanistan  2020-01-04            0          0
          Singapore  2020-01-04            0          0
             Greece  2020-01-04            0          0
          Australia  2020-01-04            0          0
 UnitedArabEmirates  2020-01-04            0          0
            Romania  2020-01-04            0          0
             Sweden  2020-01-04            0          0
              Nepal  2020-01-04            0          0
          Macedonia  2020-01-04            0          0
            Croatia  2020-01-04            0          0
        Netherlands  2020-01-04            0          0
          Lithuania  2020-01-04            0          0
              Spain  2020-01-04            0          0
            Vietnam  2020-01-04            0          0
             Taiwan  2020-01-04            0          0
      UnitedKingdom  2020-01-04            0          0
              China  2020-01-04           44          0
            Finland  2020-01-04            0          0
           Cambodia  2020-01-04            0          0
            Lebanon  2020-01-04            0          0
           Pakistan  2020-01-04            0          0
           Thailand  2020-01-04            0          0
            Belgium  2020-01-04            0          0
             Brazil  2020-01-04            0          0
         SouthKorea  2020-01-04            0          0
        Switzerland  2020-01-04            0          0
               Iran  2020-01-04            0          0
             France  2020-01-04            0          0
               Oman  2020-01-04            0          0
          SanMarino  2020-01-04            0          0
             Israel  2020-01-04            0          0
              Italy  2020-01-04            0          0
              India  2020-01-04            0          0
              Egypt  2020-01-04            0          0
            Denmark  2020-01-04            0          0
            Bahrain  2020-01-04            0          0
           Malaysia  2020-01-04            0          0
              Japan  2020-01-04            0          0
            Algeria  2020-01-04            0          0
       UnitedStates  2020-01-04            0          0
               Iraq  2020-01-04            0          0
            Germany  2020-01-04            0          0
            Georgia  2020-01-04            0          0
        Philippines  2020-01-04            0          0
           SriLanka  2020-01-04            0          0
             Kuwait  2020-01-04            0          0
            Austria  2020-01-04            0          0
             Canada  2020-01-04            0          0
             Norway  2020-01-04            0          0
        Switzerland  2020-01-05            0          0
            Austria  2020-01-05            0          0
             Israel  2020-01-05            0          0
       UnitedStates  2020-01-05            0          0
            Lebanon  2020-01-05            0          0
        Philippines  2020-01-05            0          0
              Nepal  2020-01-05            0          0
             Kuwait  2020-01-05            0          0
      UnitedKingdom  2020-01-05            0          0
         SouthKorea  2020-01-05            0          0
             France  2020-01-05            0          0
        Netherlands  2020-01-05            0          0
          Lithuania  2020-01-05            0          0
              India  2020-01-05            0          0
            Denmark  2020-01-05            0          0
            Germany  2020-01-05            0          0
             Taiwan  2020-01-05            0          0
          Macedonia  2020-01-05            0          0
 UnitedArabEmirates  2020-01-05            0          0
            Romania  2020-01-05            0          0
              Japan  2020-01-05            0          0
           Malaysia  2020-01-05            0          0
               Iraq  2020-01-05            0          0
            Georgia  2020-01-05            0          0
             Norway  2020-01-05            0          0
             Canada  2020-01-05            0          0
           Cambodia  2020-01-05            0          0
           Pakistan  2020-01-05            0          0
           Thailand  2020-01-05            0          0
            Finland  2020-01-05            0          0
               Iran  2020-01-05            0          0
               Oman  2020-01-05            0          0
              Italy  2020-01-05            0          0
          SanMarino  2020-01-05            0          0
             Brazil  2020-01-05            0          0
            Bahrain  2020-01-05            0          0
              China  2020-01-05           59         15
           SriLanka  2020-01-05            0          0
            Algeria  2020-01-05            0          0
            Belgium  2020-01-05            0          0
              Egypt  2020-01-05            0          0
             Russia  2020-01-05            0          0
             Greece  2020-01-05            0          0
          Singapore  2020-01-05            0          0
            Croatia  2020-01-05            0          0
            Vietnam  2020-01-05            0          0
        Afghanistan  2020-01-05            0          0
             Sweden  2020-01-05            0          0
          Australia  2020-01-05            0          0
              Spain  2020-01-05            0          0
        Switzerland  2020-01-06            0          0
              China  2020-01-06           59          0
             Brazil  2020-01-06            0          0
          Macedonia  2020-01-06            0          0
              Italy  2020-01-06            0          0
           SriLanka  2020-01-06            0          0
             Taiwan  2020-01-06            0          0
             Israel  2020-01-06            0          0
              Spain  2020-01-06            0          0
          Lithuania  2020-01-06            0          0
           Cambodia  2020-01-06            0          0
             Kuwait  2020-01-06            0          0
            Croatia  2020-01-06            0          0
         SouthKorea  2020-01-06            0          0
          Australia  2020-01-06            0          0
             Sweden  2020-01-06            0          0
              Japan  2020-01-06            0          0
 UnitedArabEmirates  2020-01-06            0          0
           Malaysia  2020-01-06            0          0
      UnitedKingdom  2020-01-06            0          0
           Thailand  2020-01-06            0          0
            Georgia  2020-01-06            0          0
            Lebanon  2020-01-06            0          0
             Greece  2020-01-06            0          0
             Russia  2020-01-06            0          0
          SanMarino  2020-01-06            0          0
               Oman  2020-01-06            0          0
              Nepal  2020-01-06            0          0
            Finland  2020-01-06            0          0
              Egypt  2020-01-06            0          0
            Germany  2020-01-06            0          0
        Netherlands  2020-01-06            0          0
           Pakistan  2020-01-06            0          0
            Algeria  2020-01-06            0          0
               Iran  2020-01-06            0          0
            Belgium  2020-01-06            0          0
        Afghanistan  2020-01-06            0          0
             Norway  2020-01-06            0          0
            Bahrain  2020-01-06            0          0
            Vietnam  2020-01-06            0          0
        Philippines  2020-01-06            0          0
            Romania  2020-01-06            0          0
               Iraq  2020-01-06            0          0
             Canada  2020-01-06            0          0
              India  2020-01-06            0          0
             France  2020-01-06            0          0
            Austria  2020-01-06            0          0
          Singapore  2020-01-06            0          0
            Denmark  2020-01-06            0          0
       UnitedStates  2020-01-06            0          0
           Malaysia  2020-01-07            0          0
           SriLanka  2020-01-07            0          0
            Belgium  2020-01-07            0          0
             Norway  2020-01-07            0          0
 UnitedArabEmirates  2020-01-07            0          0
               Oman  2020-01-07            0          0
               Iraq  2020-01-07            0          0
          Macedonia  2020-01-07            0          0
           Cambodia  2020-01-07            0          0
             Canada  2020-01-07            0          0
          SanMarino  2020-01-07            0          0
            Finland  2020-01-07            0          0
            Algeria  2020-01-07            0          0
              Italy  2020-01-07            0          0
            Georgia  2020-01-07            0          0
             Brazil  2020-01-07            0          0
            Lebanon  2020-01-07            0          0
        Switzerland  2020-01-07            0          0
              India  2020-01-07            0          0
             Kuwait  2020-01-07            0          0
        Philippines  2020-01-07            0          0
          Lithuania  2020-01-07            0          0
            Romania  2020-01-07            0          0
             Taiwan  2020-01-07            0          0
             Greece  2020-01-07            0          0
             Sweden  2020-01-07            0          0
             Russia  2020-01-07            0          0
              Egypt  2020-01-07            0          0
              Japan  2020-01-07            0          0
           Pakistan  2020-01-07            0          0
          Singapore  2020-01-07            0          0
              China  2020-01-07           59          0
        Afghanistan  2020-01-07            0          0
           Thailand  2020-01-07            0          0
               Iran  2020-01-07            0          0
            Bahrain  2020-01-07            0          0
          Australia  2020-01-07            0          0
            Germany  2020-01-07            0          0
            Denmark  2020-01-07            0          0
              Spain  2020-01-07            0          0
             Israel  2020-01-07            0          0
        Netherlands  2020-01-07            0          0
            Vietnam  2020-01-07            0          0
             France  2020-01-07            0          0
            Croatia  2020-01-07            0          0
       UnitedStates  2020-01-07            0          0
            Austria  2020-01-07            0          0
      UnitedKingdom  2020-01-07            0          0
         SouthKorea  2020-01-07            0          0
              Nepal  2020-01-07            0          0
      UnitedKingdom  2020-01-08            0          0
            Bahrain  2020-01-08            0          0
           SriLanka  2020-01-08            0          0
            Romania  2020-01-08            0          0
          Lithuania  2020-01-08            0          0
             Taiwan  2020-01-08            0          0
             Brazil  2020-01-08            0          0
            Belgium  2020-01-08            0          0
         SouthKorea  2020-01-08            0          0
              Egypt  2020-01-08            0          0
               Iran  2020-01-08            0          0
             Russia  2020-01-08            0          0
             Sweden  2020-01-08            0          0
              Japan  2020-01-08            0          0
              Nepal  2020-01-08            0          0
       UnitedStates  2020-01-08            0          0
           Pakistan  2020-01-08            0          0
          Australia  2020-01-08            0          0
            Georgia  2020-01-08            0          0
              China  2020-01-08           59          0
             Greece  2020-01-08            0          0
        Afghanistan  2020-01-08            0          0
           Thailand  2020-01-08            0          0
        Netherlands  2020-01-08            0          0
            Algeria  2020-01-08            0          0
            Denmark  2020-01-08            0          0
           Malaysia  2020-01-08            0          0
        Philippines  2020-01-08            0          0
             Kuwait  2020-01-08            0          0
            Vietnam  2020-01-08            0          0
             Norway  2020-01-08            0          0
 UnitedArabEmirates  2020-01-08            0          0
               Iraq  2020-01-08            0          0
              Spain  2020-01-08            0          0
             Canada  2020-01-08            0          0
        Switzerland  2020-01-08            0          0
              India  2020-01-08            0          0
            Austria  2020-01-08            0          0
            Finland  2020-01-08            0          0
            Lebanon  2020-01-08            0          0
             Israel  2020-01-08            0          0
            Germany  2020-01-08            0          0
               Oman  2020-01-08            0          0
          Macedonia  2020-01-08            0          0
          Singapore  2020-01-08            0          0
             France  2020-01-08            0          0
            Croatia  2020-01-08            0          0
           Cambodia  2020-01-08            0          0
          SanMarino  2020-01-08            0          0
              Italy  2020-01-08            0          0
        Switzerland  2020-01-09            0          0
       UnitedStates  2020-01-09            0          0
            Lebanon  2020-01-09            0          0
             Sweden  2020-01-09            0          0
            Germany  2020-01-09            0          0
              Egypt  2020-01-09            0          0
            Austria  2020-01-09            0          0
            Denmark  2020-01-09            0          0
         SouthKorea  2020-01-09            0          0
             Israel  2020-01-09            0          0
             Taiwan  2020-01-09            0          0
          Lithuania  2020-01-09            0          0
             France  2020-01-09            0          0
            Romania  2020-01-09            0          0
             Kuwait  2020-01-09            0          0
        Philippines  2020-01-09            0          0
              India  2020-01-09            0          0
             Greece  2020-01-09            0          0
            Vietnam  2020-01-09            0          0
            Georgia  2020-01-09            0          0
      UnitedKingdom  2020-01-09            0          0
        Afghanistan  2020-01-09            0          0
           SriLanka  2020-01-09            0          0
            Belgium  2020-01-09            0          0
               Oman  2020-01-09            0          0
              Spain  2020-01-09            0          0
          Macedonia  2020-01-09            0          0
              Italy  2020-01-09            0          0
          SanMarino  2020-01-09            0          0
            Croatia  2020-01-09            0          0
            Finland  2020-01-09            0          0
             Norway  2020-01-09            0          0
             Canada  2020-01-09            0          0
               Iraq  2020-01-09            0          0
 UnitedArabEmirates  2020-01-09            0          0
           Cambodia  2020-01-09            0          0
           Malaysia  2020-01-09            0          0
          Australia  2020-01-09            0          0
          Singapore  2020-01-09            0          0
             Brazil  2020-01-09            0          0
            Algeria  2020-01-09            0          0
              Nepal  2020-01-09            0          0
              Japan  2020-01-09            0          0
           Pakistan  2020-01-09            0          0
        Netherlands  2020-01-09            0          0
           Thailand  2020-01-09            0          0
               Iran  2020-01-09            0          0
             Russia  2020-01-09            0          0
            Bahrain  2020-01-09            0          0
              China  2020-01-09           59          0
              Nepal  2020-01-10            0          0
            Austria  2020-01-10            0          0
        Philippines  2020-01-10            0          0
        Switzerland  2020-01-10            0          0
            Lebanon  2020-01-10            0          0
             Sweden  2020-01-10            0          0
             Russia  2020-01-10            0          0
           Malaysia  2020-01-10            0          0
          Australia  2020-01-10            0          0
          Singapore  2020-01-10            0          0
           Pakistan  2020-01-10            0          0
             Brazil  2020-01-10            0          0
             Norway  2020-01-10            0          0
            Romania  2020-01-10            0          0
         SouthKorea  2020-01-10            0          0
          Lithuania  2020-01-10            0          0
           SriLanka  2020-01-10            0          0
            Belgium  2020-01-10            0          0
        Afghanistan  2020-01-10            0          0
               Oman  2020-01-10            0          0
              Egypt  2020-01-10            0          0
              Spain  2020-01-10            0          0
            Bahrain  2020-01-10            0          0
          Macedonia  2020-01-10            0          0
        Netherlands  2020-01-10            0          0
          SanMarino  2020-01-10            0          0
            Croatia  2020-01-10            0          0
             France  2020-01-10            0          0
            Georgia  2020-01-10            0          0
            Finland  2020-01-10            0          0
               Iraq  2020-01-10            0          0
       UnitedStates  2020-01-10            0          0
            Algeria  2020-01-10            0          0
             Canada  2020-01-10            0          0
            Vietnam  2020-01-10            0          0
              India  2020-01-10            0          0
              Italy  2020-01-10            0          0
             Israel  2020-01-10            0          0
           Cambodia  2020-01-10            0          0
      UnitedKingdom  2020-01-10            0          0
            Germany  2020-01-10            0          0
             Kuwait  2020-01-10            0          0
              China  2020-01-10           59          0
              Japan  2020-01-10            0          0
             Taiwan  2020-01-10            0          0
           Thailand  2020-01-10            0          0
               Iran  2020-01-10            0          0
             Greece  2020-01-10            0          0
            Denmark  2020-01-10            0          0
 UnitedArabEmirates  2020-01-10            0          0
              Egypt  2020-01-11            0          0
              Japan  2020-01-11            0          0
            Algeria  2020-01-11            0          0
               Oman  2020-01-11            0          0
               Iraq  2020-01-11            0          0
      UnitedKingdom  2020-01-11            0          0
           Cambodia  2020-01-11            0          0
             Sweden  2020-01-11            0          0
        Afghanistan  2020-01-11            0          0
        Netherlands  2020-01-11            0          0
            Finland  2020-01-11            0          0
             Norway  2020-01-11            0          0
            Croatia  2020-01-11            0          0
           Pakistan  2020-01-11            0          0
            Denmark  2020-01-11            0          0
            Georgia  2020-01-11            0          0
 UnitedArabEmirates  2020-01-11            0          0
              Nepal  2020-01-11            0          0
        Philippines  2020-01-11            0          0
             Canada  2020-01-11            0          0
          SanMarino  2020-01-11            0          0
              Spain  2020-01-11            0          0
       UnitedStates  2020-01-11            0          0
             France  2020-01-11            0          0
              China  2020-01-11           59          0
             Brazil  2020-01-11            0          0
        Switzerland  2020-01-11            0          0
             Israel  2020-01-11            0          0
          Australia  2020-01-11            0          0
            Belgium  2020-01-11            0          0
         SouthKorea  2020-01-11            0          0
          Singapore  2020-01-11            0          0
            Germany  2020-01-11            0          0
            Bahrain  2020-01-11            0          0
             Russia  2020-01-11            0          0
            Austria  2020-01-11            0          0
            Lebanon  2020-01-11            0          0
           SriLanka  2020-01-11            0          0
               Iran  2020-01-11            0          0
          Macedonia  2020-01-11            0          0
            Vietnam  2020-01-11            0          0
            Romania  2020-01-11            0          0
              India  2020-01-11            0          0
           Thailand  2020-01-11            0          0
             Greece  2020-01-11            0          0
             Taiwan  2020-01-11            0          0
              Italy  2020-01-11            0          0
             Kuwait  2020-01-11            0          0
          Lithuania  2020-01-11            0          0
           Malaysia  2020-01-11            0          0
           SriLanka  2020-01-12            0          0
        Netherlands  2020-01-12            0          0
            Germany  2020-01-12            0          0
             Norway  2020-01-12            0          0
              Japan  2020-01-12            0          0
              Egypt  2020-01-12            0          0
          Singapore  2020-01-12            0          0
              Spain  2020-01-12            0          0
            Croatia  2020-01-12            0          0
             Russia  2020-01-12            0          0
           Malaysia  2020-01-12            0          0
             Brazil  2020-01-12            0          0
             Sweden  2020-01-12            0          0
               Iraq  2020-01-12            0          0
              China  2020-01-12           59          0
          Australia  2020-01-12            0          0
             Canada  2020-01-12            0          0
           Cambodia  2020-01-12            0          0
              India  2020-01-12            0          0
        Philippines  2020-01-12            0          0
 UnitedArabEmirates  2020-01-12            0          0
            Georgia  2020-01-12            0          0
           Thailand  2020-01-12            0          0
            Vietnam  2020-01-12            0          0
            Denmark  2020-01-12            0          0
             Israel  2020-01-12            0          0
       UnitedStates  2020-01-12            0          0
        Switzerland  2020-01-12            0          0
            Belgium  2020-01-12            0          0
            Algeria  2020-01-12            0          0
          Macedonia  2020-01-12            0          0
               Oman  2020-01-12            0          0
      UnitedKingdom  2020-01-12            0          0
            Romania  2020-01-12            0          0
          Lithuania  2020-01-12            0          0
             Taiwan  2020-01-12            0          0
             France  2020-01-12            0          0
             Kuwait  2020-01-12            0          0
              Italy  2020-01-12            0          0
             Greece  2020-01-12            0          0
         SouthKorea  2020-01-12            0          0
          SanMarino  2020-01-12            0          0
           Pakistan  2020-01-12            0          0
        Afghanistan  2020-01-12            0          0
            Bahrain  2020-01-12            0          0
            Lebanon  2020-01-12            0          0
               Iran  2020-01-12            0          0
            Finland  2020-01-12            0          0
              Nepal  2020-01-12            0          0
            Austria  2020-01-12            0          0
             Kuwait  2020-01-13            0          0
             Brazil  2020-01-13            0          0
            Bahrain  2020-01-13            0          0
             France  2020-01-13            0          0
           Malaysia  2020-01-13            0          0
          Singapore  2020-01-13            0          0
         SouthKorea  2020-01-13            0          0
           SriLanka  2020-01-13            0          0
             Russia  2020-01-13            0          0
            Belgium  2020-01-13            0          0
             Israel  2020-01-13            0          0
               Iraq  2020-01-13            0          0
        Switzerland  2020-01-13            0          0
            Vietnam  2020-01-13            0          0
          Australia  2020-01-13            0          0
               Iran  2020-01-13            0          0
          Macedonia  2020-01-13            0          0
            Austria  2020-01-13            0          0
            Lebanon  2020-01-13            0          0
            Romania  2020-01-13            0          0
              China  2020-01-13           59          0
             Greece  2020-01-13            0          0
          SanMarino  2020-01-13            0          0
       UnitedStates  2020-01-13            0          0
        Philippines  2020-01-13            0          0
            Croatia  2020-01-13            0          0
            Georgia  2020-01-13            0          0
              Nepal  2020-01-13            0          0
           Pakistan  2020-01-13            0          0
             Norway  2020-01-13            0          0
        Netherlands  2020-01-13            0          0
              Egypt  2020-01-13            0          0
              Spain  2020-01-13            0          0
             Canada  2020-01-13            0          0
              India  2020-01-13            0          0
 UnitedArabEmirates  2020-01-13            0          0
           Thailand  2020-01-13            1          1
            Germany  2020-01-13            0          0
          Lithuania  2020-01-13            0          0
              Italy  2020-01-13            0          0
      UnitedKingdom  2020-01-13            0          0
               Oman  2020-01-13            0          0
             Taiwan  2020-01-13            0          0
            Algeria  2020-01-13            0          0
           Cambodia  2020-01-13            0          0
        Afghanistan  2020-01-13            0          0
            Denmark  2020-01-13            0          0
             Sweden  2020-01-13            0          0
              Japan  2020-01-13            0          0
            Finland  2020-01-13            0          0
 UnitedArabEmirates  2020-01-14            0          0
         SouthKorea  2020-01-14            0          0
             France  2020-01-14            0          0
      UnitedKingdom  2020-01-14            0          0
            Denmark  2020-01-14            0          0
       UnitedStates  2020-01-14            0          0
              Nepal  2020-01-14            0          0
             Israel  2020-01-14            0          0
             Russia  2020-01-14            0          0
              Egypt  2020-01-14            0          0
              Spain  2020-01-14            0          0
        Netherlands  2020-01-14            0          0
            Croatia  2020-01-14            0          0
           Cambodia  2020-01-14            0          0
            Germany  2020-01-14            0          0
           Malaysia  2020-01-14            0          0
          Australia  2020-01-14            0          0
            Romania  2020-01-14            0          0
            Austria  2020-01-14            0          0
            Belgium  2020-01-14            0          0
            Algeria  2020-01-14            0          0
          Lithuania  2020-01-14            0          0
             Norway  2020-01-14            0          0
            Vietnam  2020-01-14            0          0
            Georgia  2020-01-14            0          0
        Afghanistan  2020-01-14            0          0
        Philippines  2020-01-14            0          0
             Canada  2020-01-14            0          0
             Taiwan  2020-01-14            0          0
               Oman  2020-01-14            0          0
               Iraq  2020-01-14            0          0
           Thailand  2020-01-14            1          0
             Sweden  2020-01-14            0          0
             Kuwait  2020-01-14            0          0
             Brazil  2020-01-14            0          0
              Japan  2020-01-14            0          0
              China  2020-01-14           59          0
             Greece  2020-01-14            0          0
           SriLanka  2020-01-14            0          0
          Singapore  2020-01-14            0          0
              India  2020-01-14            0          0
               Iran  2020-01-14            0          0
            Bahrain  2020-01-14            0          0
        Switzerland  2020-01-14            0          0
            Lebanon  2020-01-14            0          0
           Pakistan  2020-01-14            0          0
            Finland  2020-01-14            0          0
          SanMarino  2020-01-14            0          0
              Italy  2020-01-14            0          0
          Macedonia  2020-01-14            0          0
               Oman  2020-01-15            0          0
           Cambodia  2020-01-15            0          0
      UnitedKingdom  2020-01-15            0          0
            Finland  2020-01-15            0          0
              Nepal  2020-01-15            0          0
          Lithuania  2020-01-15            0          0
              Japan  2020-01-15            1          1
          SanMarino  2020-01-15            0          0
             Canada  2020-01-15            0          0
           Pakistan  2020-01-15            0          0
             Sweden  2020-01-15            0          0
              China  2020-01-15           59          0
            Algeria  2020-01-15            0          0
              Egypt  2020-01-15            0          0
            Georgia  2020-01-15            0          0
            Romania  2020-01-15            0          0
            Denmark  2020-01-15            0          0
        Philippines  2020-01-15            0          0
            Croatia  2020-01-15            0          0
             Taiwan  2020-01-15            0          0
             Israel  2020-01-15            0          0
        Netherlands  2020-01-15            0          0
             Norway  2020-01-15            0          0
              Spain  2020-01-15            0          0
       UnitedStates  2020-01-15            0          0
              Italy  2020-01-15            0          0
            Vietnam  2020-01-15            0          0
            Lebanon  2020-01-15            0          0
            Belgium  2020-01-15            0          0
           SriLanka  2020-01-15            0          0
 UnitedArabEmirates  2020-01-15            0          0
               Iran  2020-01-15            0          0
          Singapore  2020-01-15            0          0
             Russia  2020-01-15            0          0
        Afghanistan  2020-01-15            0          0
              India  2020-01-15            0          0
         SouthKorea  2020-01-15            0          0
               Iraq  2020-01-15            0          0
            Germany  2020-01-15            0          0
             Greece  2020-01-15            0          0
           Malaysia  2020-01-15            0          0
            Austria  2020-01-15            0          0
             Brazil  2020-01-15            0          0
          Macedonia  2020-01-15            0          0
           Thailand  2020-01-15            1          0
            Bahrain  2020-01-15            0          0
             Kuwait  2020-01-15            0          0
             France  2020-01-15            0          0
          Australia  2020-01-15            0          0
        Switzerland  2020-01-15            0          0
          SanMarino  2020-01-16            0          0
               Iran  2020-01-16            0          0
        Switzerland  2020-01-16            0          0
